orthogroup	LCA
MZ22502806	7
MZ22502807	7
MZ22502808	7
MZ22502809	7
MZ22502814	7
MZ22502817	7
MZ22502822	7
MZ22502823	7
MZ22502825	7
MZ22502829	7
MZ22502831	7
MZ22502833	7
MZ22502834	7
MZ22502836	6
MZ22502838	7
MZ22502842	7
MZ22502843	7
MZ22502844	7
MZ22502845	7
MZ22502846	7
MZ22502847	7
MZ22502852	7
MZ22502854	7
MZ22502858	7
MZ22502864	7
MZ22502869	7
MZ22502870	7
MZ22502872	7
MZ22502874	7
MZ22502875	7
MZ22502879	7
MZ22502882	7
MZ22502883	7
MZ22502884	7
MZ22502885	7
MZ22502888	7
MZ22502890	7
MZ22502891	7
MZ22502892	7
MZ22502893	7
MZ22502897	7
MZ22502898	7
MZ22502899	7
MZ22502900	7
MZ22502901	7
MZ22502903	7
MZ22502907	7
MZ22502909	7
MZ22502912	7
MZ22502915	7
MZ22502920	7
MZ22502925	7
MZ22502931	7
MZ22502932	7
MZ22502933	7
MZ22502934	6
MZ22502935	7
MZ22502937	7
MZ22502938	7
MZ22502939	7
MZ22502941	7
MZ22502943	7
MZ22502944	7
MZ22502947	7
MZ22502948	7
MZ22502949	7
MZ22502950	7
MZ22502952	7
MZ22502953	7
MZ22502956	7
MZ22502957	7
MZ22502961	7
MZ22502962	7
MZ22502963	7
MZ22502964	7
MZ22502965	7
MZ22502966	7
MZ22502967	7
MZ22502970	7
MZ22502971	7
MZ22502972	7
MZ22502977	7
MZ22502978	7
MZ22502979	7
MZ22502980	7
MZ22502981	7
MZ22502983	7
MZ22502988	7
MZ22502989	7
MZ22502991	7
MZ22502992	7
MZ22502993	7
MZ22502998	7
MZ22503000	6
MZ22503001	7
MZ22503004	7
MZ22503007	7
MZ22503008	7
MZ22503010	7
MZ22503011	7
MZ22503014	7
MZ22503021	7
MZ22503022	7
MZ22503023	7
MZ22503026	7
MZ22503027	7
MZ22503028	7
MZ22503031	7
MZ22503032	6
MZ22503033	7
MZ22503034	7
MZ22503035	7
MZ22503036	7
MZ22503037	7
MZ22503041	6
MZ22503042	7
MZ22503043	7
MZ22503048	7
MZ22503049	7
MZ22503050	7
MZ22503055	7
MZ22503056	7
MZ22503057	7
MZ22503058	7
MZ22503059	7
MZ22503065	7
MZ22503066	7
MZ22503069	7
MZ22503070	7
MZ22503073	7
MZ22503074	7
MZ22503075	7
MZ22503077	7
MZ22503081	7
MZ22503082	7
MZ22503083	7
MZ22503085	7
MZ22503091	7
MZ22503095	7
MZ22503098	7
MZ22503099	7
MZ22503100	7
MZ22503102	7
MZ22503103	7
MZ22503105	7
MZ22503106	7
MZ22503107	7
MZ22503109	7
MZ22503113	7
MZ22503116	7
MZ22503119	7
MZ22503121	7
MZ22503122	7
MZ22503123	7
MZ22503124	7
MZ22503126	7
MZ22503127	7
MZ22503128	7
MZ22503134	7
MZ22503135	7
MZ22503138	7
MZ22503140	7
MZ22503141	7
MZ22503145	7
MZ22503148	6
MZ22503151	7
MZ22503154	7
MZ22503160	7
MZ22503161	7
MZ22503163	7
MZ22503164	7
MZ22503165	7
